word,len,count,count_wiki,min_char_freq,nankuro_score
乳母,2,2,3753,120758,4.101712516764719
投信,2,2,1924,707501,4.101704510413704
親権,2,2,2555,461372,4.101504405695109
答申,2,2,5329,82626,4.1014371305109245
協商,2,2,2249,598967,4.101436324522148
乱射,2,2,3498,209098,4.101312387724399
毒殺,2,2,4016,67723,4.101232400180296
無縁,2,2,3582,88478,4.101221904657156
開墾,2,2,4548,5657,4.101193873982568
手番,2,2,1314,1832561,4.101131308185031
座主,2,2,1906,458227,4.101094344732166
中座,2,2,1639,458227,4.1006810039177175
国益,2,2,1869,220451,4.100629648994741
流転,2,2,1938,740074,4.100442932713596
遺稿,2,2,3175,265235,4.100176740692444
万治,2,2,2599,140692,4.100065457395717
各県,2,2,2484,407155,4.099849356836156
氏神,2,2,2403,186955,4.09983718825582
神獣,2,2,2746,100314,4.099827795053769
購買,2,2,5181,91742,4.099735504331267
急逝,2,2,5270,17720,4.099663848006543
車高,2,2,1373,1569964,4.099643233719676
樹海,2,2,2096,347490,4.0996092406357185
熟練,2,2,4995,56823,4.099475988825214
軍馬,2,2,1899,843138,4.099371046530054
山原,2,2,1226,2174333,4.099360804890187
東北東,3,3,1200,1938432,4.099310294164203
古木,2,2,1761,975365,4.099256352502067
用達,2,2,1811,439427,4.099117149280658
新株,2,2,1704,658780,4.098904261222117
霊感,2,2,3460,170965,4.098845853708466
薬草,2,2,3369,244091,4.098844197323216
開創,2,2,1721,507675,4.098825860996227
開府,2,2,1705,530175,4.098812996930541
社主,2,2,1264,2350959,4.098794922264506
装丁,2,2,2325,502945,4.098782280021356
千金,2,2,1954,700803,4.098712717477038
左遷,2,2,4305,87328,4.098697061573927
作例,2,2,1754,282513,4.098657462591397
出玉,2,2,1594,401028,4.0986457855412715
流失,2,2,2566,350083,4.098615033417411
残虐,2,2,5763,46402,4.098448050596846
小道,2,2,1248,2182142,4.0984331237636304
双書,2,2,2704,131825,4.09838363708535
不毛,2,2,2816,165459,4.0983575528206755
斬新,2,2,3962,12736,4.098257940202064
現任,2,2,1594,1146894,4.098188765111477
継母,2,2,2770,381822,4.098107438033028
師弟,2,2,2990,216598,4.098053699306055
人馬,2,2,1341,843138,4.098002768532766
戦傷,2,2,2249,177261,4.0979585528949265
海保,2,2,1534,1452857,4.097958289050465
石工,2,2,1783,1055581,4.097940929242937
彼岸,2,2,3288,276831,4.097895781307375
唯物,2,2,2324,121083,4.097860134246005
感激,2,2,3565,146465,4.097855668188517
雑記,2,2,1997,274823,4.097814014463662
境目,2,2,2003,403736,4.097702107779605
開明,2,2,1255,2175402,4.097688467492514
遺志,2,2,2856,370486,4.097673314867792
全音,2,2,1601,1300836,4.097605716236731
関大,2,2,972,2615570,4.097544916960491
魔境,2,2,2763,403736,4.097508368952102
製糖,2,2,3753,43338,4.097457783613603
反攻,2,2,2407,543827,4.0971675161222745
助詞,2,2,2697,381500,4.097130502537834
八千,2,2,2421,473711,4.097088310442581
病室,2,2,2843,394998,4.0969341894014635
記紀,2,2,1540,910720,4.096908792536787
過熱,2,2,3016,209942,4.096850705772161
黒帯,2,2,2791,403591,4.096828723988464
常温,2,2,2585,296749,4.096462255346494
局舎,2,2,3342,245828,4.09628244449724
道会,2,2,1029,3414914,4.096252083369045
誤字,2,2,3618,75322,4.096193376758903
一徹,2,2,2502,59177,4.096182918430481
親愛,2,2,2269,598909,4.096175724812725
復調,2,2,2149,699162,4.096124920650828
復位,2,2,1976,699162,4.096063667076211
討死,2,2,3117,128289,4.095993640391559
盟約,2,2,2776,293656,4.095911041297706
転化,2,2,1651,1333464,4.095768717620613
霊力,2,2,2526,170965,4.095708017295074
新店,2,2,1629,772580,4.095608974279143
単離,2,2,2600,460065,4.095554938653633
打法,2,2,2160,335444,4.095541867030285
家宅,2,2,2342,256868,4.095537995286896
元職,2,2,2095,644484,4.095483815159238
伝習,2,2,2667,308209,4.095365347269702
花柳,2,2,3338,154888,4.0953525494878
権益,2,2,3100,220451,4.09515573248728
客人,2,2,1578,377221,4.095048078269281
古物,2,2,1472,975365,4.095018586174012
火砲,2,2,3362,163971,4.095009688017441
図画,2,2,1670,586569,4.094972456592993
逆手,2,2,2420,96540,4.0949269620177535
減量,2,2,3253,204282,4.094857713108576
直上,2,2,1543,823195,4.094822162640714
出奔,2,2,3122,16438,4.094814835289403
法輪,2,2,2346,225198,4.094684368085053
点線,2,2,1678,1212807,4.0946595590295125
車外,2,2,1434,1569964,4.094596591679193
恋文,2,2,2198,166267,4.094544220860582
若木,2,2,2286,268645,4.094540274065617
不純,2,2,2766,169146,4.094348871841119
見当,2,2,1606,927786,4.094276653582207
重鎮,2,2,3204,77463,4.094267624517952
新調,2,2,1603,815722,4.094260513079103
快勝,2,2,2772,112324,4.09398700018781
円墳,2,2,4584,101593,4.0939402519316825
結託,2,2,2916,96514,4.093924502372527
万作,2,2,2005,140692,4.0938797730757175
治験,2,2,1930,512056,4.093788913856516
清見,2,2,2259,469715,4.093768244024373
国師,2,2,1484,581068,4.0936862748567595
最深,2,2,2171,273762,4.093620367417581
浮動,2,2,2579,79936,4.093588148780104
略式,2,2,2012,393689,4.093573622981657
分冊,2,2,2999,47826,4.093379583031933
新劇,2,2,1690,628735,4.093356802883248
製油,2,2,2893,136959,4.09331902122984
奏上,2,2,1902,303156,4.093300723874539
支柱,2,2,4080,33428,4.093295443990864
常緑,2,2,3266,94935,4.0932822486895795
北風,2,2,1917,478906,4.09314914929862
学風,2,2,1414,478906,4.093102736263699
