word,len,count,count_wiki,min_char_freq
中教審,3,3,126,239009
中東欧,3,3,381,156969
中近東,3,3,1698,884882
中長期,3,3,1138,1613317
中高年,3,3,1489,3098326
中高生,3,3,2726,3082836
丸屋根,3,3,548,216073
乙女座,3,3,879,56378
乙女心,3,3,519,56378
二人組,3,3,2431,630193
五街道,3,3,528,195494
亜米利加,4,4,287,181120
亜細亜,3,3,5121,181120
亜麻仁,3,3,129,178624
京言葉,3,3,287,712844
京阪神,3,3,3844,967135
仕事人,3,3,6234,305755
仕事柄,3,3,328,109345
仕事率,3,3,347,177715
仕事着,3,3,188,305755
仕入先,3,3,227,305755
仮名序,3,3,187,88920
休廃止,3,3,292,260912
余所者,3,3,210,104308
倉稲魂,3,3,615,22465
催馬楽,3,3,229,661331
優婆塞,3,3,169,12386
入出力,3,3,2382,1559511
入出金,3,3,447,1319686
入退院,3,3,733,751784
全人代,3,3,839,1770342
全労協,3,3,141,295064
全学連,3,3,1111,1770342
全日空,3,3,3769,1250169
八十島,3,3,403,473711
八十神,3,3,198,473711
八千草,3,3,791,244091
八王子,3,3,34057,473711
八重垣,3,3,696,104436
公取委,3,3,476,557861
公社債,3,3,224,54490
内外野,3,3,446,2262493
初中級,3,3,529,304998
利活用,3,3,1157,1314432
北九州,3,3,51080,312481
北朝鮮,3,3,43330,218285
北海道,3,3,382042,1938432
北陸道,3,3,1556,724614
千字文,3,3,388,667248
千日手,3,3,3479,700803
千畳敷,3,3,608,4751
半兵衛,3,3,1997,523182
卒都婆,3,3,102,12386
南北朝,3,3,13418,965271
南海道,3,3,503,1117226
卸問屋,3,3,199,13415
又従兄,3,3,230,28315
又従兄弟,4,4,294,28315
受発注,3,3,140,664701
右左折,3,3,357,84876
名古屋,3,3,300226,933702
名台詞,3,3,305,526235
和歌山,3,3,86623,698652
商工業,3,3,2170,598967
四死球,3,3,1248,325660
回鍋肉,3,3,100,28185
国公私立,4,4,1553,143497
国公立,3,3,2971,2454824
国内外,3,3,11463,2262493
国分寺,3,3,12967,422380
国津神,3,3,372,655205
土産品,3,3,604,875961
土耳古,3,3,102,21123
地吹雪,3,3,145,129860
塩野義,3,3,757,138625
増改築,3,3,2281,375273
夜露死苦,4,4,202,102246
大仕事,3,3,398,305755
大喜利,3,3,7739,188221
大将軍,3,3,10556,521079
大御神,3,3,1169,349525
大火傷,3,3,412,177261
大真面目,4,4,172,924917
天平勝宝,4,4,2120,363814
天平宝字,4,4,3242,363814
天平感宝,4,4,159,363814
天平神護,4,4,1058,567899
女相撲,3,3,160,79720
女言葉,3,3,205,712844
女風呂,3,3,201,66749
妊産婦,3,3,502,35827
学協会,3,3,210,835579
孫息子,3,3,317,91388
宇賀神,3,3,1070,459638
宇都宮,3,3,50193,459638
安保理,3,3,3649,1030313
官公署,3,3,435,93736
家屋敷,3,3,327,184286
富士塚,3,3,654,324870
富士通,3,3,14306,521844
審神者,3,3,115,239009
寿司店,3,3,544,126902
寿司種,3,3,150,126902
寿限無,3,3,511,126902
小中高生,4,4,351,2182142
屋敷林,3,3,185,184286
屋敷神,3,3,178,184286
屋根板,3,3,203,266608
屋根瓦,3,3,400,23935
山仕事,3,3,118,305755
山吹色,3,3,478,137179
山羊座,3,3,627,19023
山野草,3,3,549,244091
山陰道,3,3,731,92442
山陽道,3,3,136,391165
岩風呂,3,3,189,66749
川太郎,3,3,107,1176863
徒然草,3,3,955,244091
御主人,3,3,112,349525
御神火,3,3,141,349525
恒河沙,3,3,121,75858
我楽多,3,3,258,90102
手水鉢,3,3,365,7799
投開票,3,3,4727,212752
披露目,3,3,8626,95726
摩利支,3,3,410,170611
政財界,3,3,1665,279835
文武官,3,3,220,595482
新仮名,3,3,110,203720
新日鉄,3,3,2774,1316972
旅籠屋,3,3,273,24915
日体大,3,3,2262,2196583
日弁連,3,3,1014,197155
日教組,3,3,945,1526556
日歯連,3,3,114,77197
日経連,3,3,252,1717568
早稲田,3,3,75752,223571
明後日,3,3,504,1790326
明日葉,3,3,416,712844
時津風,3,3,2842,478906
晩御飯,3,3,117,45793
暴風雪,3,3,211,129860
月夜見,3,3,284,305097
未曽有,3,3,250,66514
本支店,3,3,506,772580
東山道,3,3,1304,3414914
東工大,3,3,688,1327207
東海道,3,3,33665,1945330
板門店,3,3,481,266608
柳多留,3,3,102,154888
桃太郎,3,3,12582,93930
桜吹雪,3,3,809,129860
梅雨時,3,3,171,96268
権兵衛,3,3,1999,461372
武富士,3,3,768,521844
殺陣師,3,3,1092,95428
水無月,3,3,2237,642923
水道橋,3,3,2588,729010
永田町,3,3,2306,416274
江原道,3,3,2854,737087
波羅蜜多,4,4,296,9041
海老根,3,3,481,195511
無理矢理,4,4,3918,202025
玉依姫,3,3,539,101900
王太子,3,3,5102,1123698
玩具屋,3,3,131,24086
瓦屋根,3,3,334,23935
甚兵衛,3,3,1439,17620
生没年,3,3,21566,341706
産総研,3,3,414,904153
田舎娘,3,3,256,33018
男言葉,3,3,226,712844
畑仕事,3,3,390,77204
病害虫,3,3,676,92982
病虫害,3,3,317,92982
登下校,3,3,713,1131284
白足袋,3,3,124,67286
百合根,3,3,136,287401
百舌鳥,3,3,1557,15295
皇太孫,3,3,264,91388
相撲人,3,3,368,79720
相撲部屋,4,4,1130,79720
矢羽根,3,3,175,202025
知藩事,3,3,995,115595
石家荘,3,3,1306,62665
石清水,3,3,1927,469715
石風呂,3,3,183,66749
石鳥居,3,3,352,314007
砂利道,3,3,271,131035
社内外,3,3,226,2262493
神奈備,3,3,219,569165
神奈川,3,3,203749,569165
神楽殿,3,3,837,174356
神護景雲,4,4,1425,163415
科捜研,3,3,2964,148531
科警研,3,3,167,508514
稲荷寿司,4,4,156,113972
第六天,3,3,609,57695
米問屋,3,3,232,520405
紙吹雪,3,3,585,129860
紙相撲,3,3,148,79720
紫式部,3,3,2258,68429
組屋敷,3,3,152,184286
経団連,3,3,2086,1126693
給排水,3,3,311,117409
統廃合,3,3,3907,594330
羽根車,3,3,235,268595
能天気,3,3,742,1181576
脳天気,3,3,191,66073
自賠責,3,3,2180,24213
致死傷,3,3,1385,135018
花盗人,3,3,110,96808
若女将,3,3,507,268645
英吉利,3,3,418,790025
英数字,3,3,1108,667248
英米法,3,3,1072,520405
茶華道,3,3,394,122235
虚空蔵,3,3,1574,43957
被団協,3,3,157,218993
