char,freq
賢,55
鐘,55
隣,55
雅,55
駆,55
幸,54
廷,54
怨,54
招,54
棋,54
泣,54
淡,54
淫,54
獅,54
笠,54
絹,54
襲,54
塞,53
妊,53
妓,53
姦,53
幾,53
弦,53
径,53
循,53
忘,53
暖,53
汗,53
洞,53
涙,53
燕,53
狗,53
禅,53
累,53
翻,53
耶,53
裸,53
也,52
催,52
傾,52
兼,52
劣,52
奔,52
巣,52
幣,52
弥,52
扶,52
撲,52
是,52
楼,52
歓,52
爪,52
督,52
粧,52
股,52
蓄,52
袖,52
需,52
韻,52
麺,52
丈,51
侍,51
傍,51
姓,51
履,51
崎,51
朱,51
狩,51
癖,51
蝋,51
詰,51
鉢,51
削,50
又,50
叉,50
彼,50
概,50
疎,50
皆,50
肩,50
肪,50
藩,50
逐,50
酵,50
預,50
顕,50
鳩,50
刃,49
剰,49
呑,49
尖,49
栓,49
泡,49
罰,49
蘇,49
蚕,49
譜,49
逃,49
錯,49
凝,48
凶,48
召,48
喪,48
屑,48
征,48
愁,48
抑,48
斎,48
杉,48
毘,48
泊,48
烈,48
狼,48
盆,48
祉,48
署,48
膚,48
蔓,48
侠,47
傘,47
冗,47
吟,47
喫,47
垣,47
壇,47
尼,47
携,47
撮,47
曜,47
柑,47
柔,47
泳,47
漂,47
牡,47
葡,47
衰,47
逸,47
壺,46
奸,46
慣,46
慰,46
挿,46
漿,46
痕,46
稽,46
穂,46
窟,46
窮,46
臥,46
蛙,46
蟻,46
抄,45
措,45
晴,45
漏,45
腎,45
菩,45
襟,45
註,45
零,45
乙,44
伽,44
倶,44
僚,44
塁,44
墓,44
崩,44
枠,44
梵,44
溝,44
牙,44
縣,44
胴,44
芳,44
莫,44
菱,44
賛,44
遇,44
遮,44
鈴,44
飽,44
鱗,44
鴨,44
丘,43
佳,43
到,43
勅,43
午,43
哥,43
唇,43
唯,43
寡,43
怖,43
拍,43
捜,43
掘,43
擦,43
斉,43
畳,43
蚊,43
褐,43
誉,43
諾,43
鎌,43
霜,43
伎,42
励,42
勧,42
叙,42
寛,42
寮,42
峰,42
巧,42
掌,42
描,42
旨,42
暇,42
槍,42
狭,42
睡,42
秀,42
紐,42
繁,42
脇,42
艇,42
蕎,42
訪,42
謹,42
蹄,42
